date,cases,country
2020-06-16,43,China
2020-06-15,47,China
2020-06-14,60,China
2020-06-13,12,China
2020-06-12,7,China
2020-06-11,11,China
2020-06-10,4,China
2020-06-09,3,China
2020-06-08,5,China
2020-06-07,9,China
2020-06-06,6,China
2020-06-05,11,China
2020-06-04,1,China
2020-06-03,5,China
2020-06-02,7,China
2020-06-01,19,China
2020-05-31,5,China
2020-05-30,17,China
2020-05-29,0,China
2020-05-28,3,China
2020-05-27,1,China
2020-05-26,7,China
2020-05-25,11,China
2020-05-24,3,China
2020-05-23,2,China
2020-05-22,12,China
2020-05-21,2,China
2020-05-20,2,China
2020-05-19,9,China
2020-05-18,10,China
2020-05-17,6,China
2020-05-16,9,China
2020-05-15,5,China
2020-05-14,6,China
2020-05-13,7,China
2020-05-12,1,China
2020-05-11,19,China
2020-05-10,15,China
2020-05-09,0,China
2020-05-08,6,China
2020-05-07,2,China
2020-05-06,2,China
2020-05-05,2,China
2020-05-04,3,China
2020-05-03,2,China
2020-05-02,3,China
2020-05-01,12,China
2020-04-30,4,China
2020-04-29,2,China
2020-04-28,26,China
2020-04-27,3,China
2020-04-26,10,China
2020-04-25,15,China
2020-04-24,8,China
2020-04-23,12,China
2020-04-22,15,China
2020-04-21,32,China
2020-04-20,14,China
2020-04-19,18,China
2020-04-18,31,China
2020-04-17,352,China
2020-04-16,50,China
2020-04-15,49,China
2020-04-14,94,China
2020-04-13,112,China
2020-04-12,93,China
2020-04-11,79,China
2020-04-10,55,China
2020-04-09,86,China
2020-04-08,86,China
2020-04-07,56,China
2020-04-06,67,China
2020-04-05,48,China
2020-04-04,62,China
2020-04-03,70,China
2020-04-02,100,China
2020-04-01,54,China
2020-03-31,84,China
2020-03-30,98,China
2020-03-29,113,China
2020-03-28,119,China
2020-03-27,94,China
2020-03-26,102,China
2020-03-25,78,China
2020-03-24,69,China
2020-03-23,138,China
2020-03-22,65,China
2020-03-21,52,China
2020-03-20,99,China
2020-03-19,44,China
2020-03-18,23,China
2020-03-17,43,China
2020-03-16,25,China
2020-03-15,22,China
2020-03-14,19,China
2020-03-13,22,China
2020-03-12,24,China
2020-03-11,29,China
2020-03-10,20,China
2020-03-09,45,China
2020-03-08,46,China
2020-03-07,101,China
2020-03-06,170,China
2020-03-05,117,China
2020-03-04,119,China
2020-03-03,127,China
2020-03-02,205,China
2020-03-01,574,China
2020-02-29,428,China
2020-02-28,329,China
2020-02-27,439,China
2020-02-26,410,China
2020-02-25,515,China
2020-02-24,218,China
2020-02-23,647,China
2020-02-22,826,China
2020-02-21,891,China
2020-02-20,394,China
2020-02-19,1750,China
2020-02-18,1890,China
2020-02-17,2052,China
2020-02-16,2007,China
2020-02-15,2538,China
2020-02-14,4156,China
2020-02-13,15141,China
